Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
2010,EARL,8/24/10,9/6/10,8/24 - 9/6,125,927,Hurricane
2010,GASTON,9/1/10,9/8/10,9/1 - 9/8,35,1005,Tropical Storm
2010,HERMINE,9/3/10,9/10/10,9/3 - 9/10,60,989,Tropical Storm
2010,KARL,9/13/10,9/18/10,9/13 - 9/18,110,956,Hurricane
2010,IGOR,9/8/10,9/23/10,9/8 - 9/23,135,924,Hurricane
2010,JULIA,9/12/10,9/24/10,9/12 - 9/24,120,948,Hurricane
2010,MATTHEW,9/23/10,9/26/10,9/23 - 9/26,50,998,Tropical Storm
2010,LISA,9/20/10,9/29/10,9/20 - 9/29,75,982,Hurricane
2010,NICOLE,9/28/10,9/30/10,9/28 - 9/30,40,994,Tropical Storm
2010,PAULA,10/11/10,10/15/10,10/11 - 10/15,90,981,Hurricane
2010,OTTO,10/6/10,10/17/10,10/6 - 10/17,75,976,Hurricane
2010,RICHARD,10/19/10,10/26/10,10/19 - 10/26,85,977,Hurricane
2010,SHARY,10/28/10,10/30/10,10/28 - 10/30,65,989,Hurricane
2010,TOMAS,10/29/10,11/10/10,10/29 - 11/10,85,982,Hurricane
2011,ARLENE,6/28/11,7/1/11,6/28 - 7/1,55,993,Tropical Storm
2011,BRET,7/16/11,7/23/11,7/16 - 7/23,60,995,Tropical Storm
2011,CINDY,7/20/11,7/23/11,7/20 - 7/23,60,994,Tropical Storm
2011,DON,7/27/11,7/30/11,7/27 - 7/30,45,997,Tropical Storm
2011,EMILY,8/2/11,8/7/11,8/2 - 8/7,45,1003,Tropical Storm
2011,FRANKLIN,8/12/11,8/16/11,8/12 - 8/16,40,1004,Tropical Storm
2011,GERT,8/13/11,8/17/11,8/13 - 8/17,55,1000,Tropical Storm
2011,HARVEY,8/19/11,8/22/11,8/19 - 8/22,55,994,Tropical Storm
2011,JOSE,8/26/11,8/29/11,8/26 - 8/29,40,1006,Tropical Storm
2011,IRENE,8/21/11,8/30/11,8/21 - 8/30,105,942,Hurricane
2011,LEE,9/2/11,9/6/11,9/2 - 9/6,50,986,Tropical Storm
2011,KATIA,8/28/11,9/12/11,8/28 - 9/12,120,942,Hurricane
2011,NATE,9/6/11,9/12/11,9/6 - 9/12,65,994,Hurricane
2011,MARIA,9/6/11,9/16/11,9/6 - 9/16,70,983,Hurricane
2011,OPHELIA,9/20/11,10/4/11,9/20 - 10/4,120,940,Hurricane
2011,PHILIPPE,9/23/11,10/9/11,9/23 - 10/9,80,976,Hurricane
2011,RINA,10/22/11,10/29/11,10/22 - 10/29,100,966,Hurricane
2011,SEAN,11/6/11,11/12/11,11/6 - 11/12,55,982,Tropical Storm
2012,ALBERTO,5/19/12,5/23/12,5/19 - 5/23,50,995,Tropical Storm
2012,BERYL,5/25/12,6/2/12,5/25 - 6/2,60,992,Tropical Storm
2012,CHRIS,6/17/12,6/24/12,6/17 - 6/24,75,974,Hurricane
2012,DEBBY,6/23/12,6/27/12,6/23 - 6/27,55,990,Tropical Storm
2012,FLORENCE,8/3/12,8/8/12,8/3 - 8/8,50,1002,Tropical Storm
2012,ERNESTO,8/1/12,8/10/12,8/1 - 8/10,85,973,Hurricane
2012,HELENE,8/9/12,8/19/12,8/9 - 8/19,40,1004,Tropical Storm
2012,GORDON,8/15/12,8/21/12,8/15 - 8/21,95,965,Hurricane
2012,JOYCE,8/21/12,8/24/12,8/21 - 8/24,35,1006,Tropical Storm
2012,ISAAC,8/20/12,9/1/12,8/20 - 9/1,70,965,Hurricane
2012,KIRK,8/28/12,9/3/12,8/28 - 9/3,90,970,Hurricane
2012,MICHAEL,9/2/12,9/12/12,9/2 - 9/12,100,964,Hurricane
